rok,rodzaj,przedsiębiorstwa objęte badaniem,przychody z całokształtu działalności (przychody ogółem),zysk brutto,zysk netto,kredyty bankowe i pożyczki,wynik finansowy brutto,wskaźnik płynności finansowej I stopnia,przychody netto ze sprzedaży towarów i materiałów,aktywa obrotowe,zobowiązania długoterminowe,wskaźnik rentowności obrotu netto,"przychody netto ze sprzedaży produktów, towarów i materiałów",wartość sprzedanych towarów i materiałów,należności krótkoterminowe z tytułu dostaw i usług,zapasy - towary,wskaźnik poziomu kosztów,obowiązkowe obciążenia wyniku finansowego brutto - podatek dochodowy,pozostałe koszty operacyjne,koszt sprzedanych produktów,obowiązkowe obciążenia wyniku finansowego brutto,udział przychodów przedsiębiorstw wykazujących zysk netto w przychodach z całokształtu działalności,zapasy - półprodukty i produkty w toku,wynik finansowy na działalności gospodarczej,przychody netto ze sprzedaży produktów,wskaźnik rentowności sprzedaży brutto,inwestycje krótkoterminowe,zobowiązania krótkoterminowe,zapasy - produkty gotowe,pozostałe przychody operacyjne,strata brutto,koszty uzyskania przychodów z całokształtu działalności (koszty ogółem),wskaźnik płynności finansowej II stopnia,wynik finansowy netto,wskaźnik rentowności obrotu brutto,udział liczby przedsiębiorstw wykazujących zysk netto w ogólnej liczbie przedsiębiorstw,należności krótkoterminowe,"wynik finansowy ze sprzedaży produktów, towarów i materiałów",pozostałe przychody operacyjne - dotacje,koszty finansowe,wynik zdarzeń nadzwyczajnych,zapasy - materiały,"zobowiązania krótkoterminowe z tytułu podatków, ceł, ubezpieczeń i innych świadczeń",przychody finansowe,zapasy,zobowiązania krótkoterminowe z tytułu dostaw i usług,strata netto,krótkoterminowe rozliczenia międzyokresowe
2018,Informacja i komunikacja,576,103816833000,8680500000,7184515000,6247604000,5876186000,0.46799999999999997,10370644000,40720117000,39057576000,0.040999999999999995,99251756000,9125324000,20780003000,1018706000,0.943,1627509000,4764205000,80677186000,1627509000,0.8200000000000001,748698000,,88881112000,0.095,11726061000,25068946000,863134000,2733037000,2804314000,97940647000,1.401,4248677000,0.057,0.8250000000000001,23402218000,9449246000,160295000,3373932000,,382778000,1988309000,1832040000,3054580000,10715128000,2935838000,2537258000
2019,Informacja i komunikacja,612,110062851000,10906199000,8806651000,5018037000,10419386000,0.459,11412258000,42899530000,43047523000,0.075,105667553000,10349838000,22247135000,976260000,0.905,2153358000,2642443000,83879348000,2153358000,0.932,799114000,,94255295000,0.10800000000000001,12193689000,26543941000,877484000,2343194000,486813000,99643465000,1.3980000000000001,8266028000,0.095,0.853,24903938000,11438367000,101192000,2771836000,,343263000,2240800000,2052104000,3041682000,11652643000,540623000,2760221000
2020,Informacja i komunikacja,639,115112677000,13961445000,11750274000,6827621000,12751335000,0.5970000000000001,9470178000,48709708000,40143928000,0.091,110563392000,8689872000,21672248000,872351000,0.8890000000000001,2263058000,2558296000,87974865000,2263058000,0.925,871681000,,101093214000,0.126,17471507000,29268303000,943674000,2256644000,1210110000,102361342000,1.472,10488277000,0.111,0.85,25603678000,13898655000,166608000,3138309000,,364161000,2693137000,2292641000,3137706000,11868209000,1261997000,2496817000
2011,Górnictwo i wydobywanie,141,64588680000,18825324000,15368586000,911781000,18721342000,1.422,1041801000,31152305000,3133359000,0.23600000000000002,56989266000,811503000,4923216000,63945000,0.71,3448803000,2282074000,41537402000,3448803000,0.98,1674251000,18698515000.0,55947465000,0.257,19322540000,13590872000,1476124000,1806315000,103982000,45890165000,1.876,15272539000,0.29,0.922,6167960000,14640361000,298236000,1259186000,22827000.0,706043000,3863772000,5793099000,3951908000,4642444000,96047000,1709897000
2012,Górnictwo i wydobywanie,143,60015974000,9131951000,7001698000,2571439000,8483349000,0.326,2919691000,18521075000,3809985000,0.107,56476796000,2631128000,4845895000,74458000,0.8590000000000001,2051358000,1839196000,44015392000,2051358000,0.938,1959284000,8453892000.0,53557105000,0.174,4904399000,15039671000,2939838000,1561810000,648602000,51562082000,0.737,6431991000,0.141,0.6920000000000001,6185386000,9830276000,310318000,3076366000,29457000.0,960282000,3089708000,1977368000,5944805000,4959864000,569707000,1486485000
2013,Górnictwo i wydobywanie,149,58124988000,5660411000,4048933000,2832901000,5172008000,0.271,4256740000,18278262000,5025734000,0.062000000000000006,54279960000,3892107000,5377454000,140442000,0.9109999999999999,1565495000,1515649000,45896438000,1565495000,0.932,1662712000,5154899000.0,50023220000,0.083,4526718000,16700838000,2136684000,2941098000,488403000,52970089000,0.691,3606513000,0.08900000000000001,0.691,7011438000,4491415000,297224000,1665895000,17109000.0,1023587000,2846519000,903930000,5016217000,5911684000,442420000,1723889000
2014,Górnictwo i wydobywanie,146,54500060000,4288565000,3137716000,2441006000,1773530000,0.162,4187358000,15139851000,7031015000,0.015,49076537000,3838748000,5280135000,177473000,0.9670000000000001,974652000,2924922000,43583774000,974652000,0.502,1645300000,1777263000.0,44889179000,0.034,2946319000,18237799000,2187894000,4549228000,2515035000,52722797000,0.529,798878000,0.033,0.726,6709472000,1654015000,314422000,2375353000,-3733000.0,922801000,2823112000,874295000,4961839000,6353070000,2338838000,522221000
2015,Górnictwo i wydobywanie,143,51538007000,2824973000,1796188000,3309743000,-480299000,0.156,4170846000,13959762000,9520242000,-0.031000000000000003,47300805000,3859767000,4081913000,189785000,1.008,1106227000,3003910000,41794289000,1106227000,0.533,1689302000,-397034000.0,43129959000,0.035,2968572000,18996557000,1696506000,3308287000,3305272000,51935041000,0.469,-1586526000,-0.009000000000000001,0.7340000000000001,5941353000,1646749000,740220000,3277075000,-83265000.0,975248000,2568253000,928915000,4562879000,5916248000,3382714000,486958000
2016,Górnictwo i wydobywanie,136,48740332000,3829684000,2898842000,2662009000,2293252000,0.271,3674055000,14200386000,13503182000,0.027999999999999997,44091441000,3325921000,3992521000,528341000,0.953,911112000,3272803000,38436450000,911112000,0.756,1872013000,,40417386000,0.053,4104366000,15121827000,1173644000,3697361000,1536432000,46447080000,0.609,1382140000,0.047,0.735,5109877000,2329070000,1023215000,1411906000,,820347000,2562576000,951530000,4400112000,5646303000,1516702000,586031000
2017,Górnictwo i wydobywanie,131,60126147000,8455639000,6653313000,1730339000,7843929000,0.433,5155729000,18930545000,11951120000,0.10099999999999999,49500764000,4807328000,4536289000,266381000,0.87,1794400000,7075337000,38392766000,1794400000,0.9359999999999999,2995841000,,44345035000,0.127,6006885000,13875894000,1019554000,8868939000,611710000,52282218000,0.934,6049529000,0.13,0.794,6948296000,6300670000,2647434000,2006787000,,909140000,2128660000,1756444000,5207182000,6139674000,603784000,768182000
