powiat,rok,wartość
powiat Jastrzębie-Zdrój,2019,0.0
powiat Rybnik,2011,0.0
powiat Rybnik,2012,0.0
powiat Rybnik,2013,0.0
powiat Rybnik,2014,0.0
powiat Rybnik,2015,0.0
powiat Rybnik,2016,0.0
powiat Rybnik,2017,0.0
powiat Rybnik,2018,0.0
powiat Rybnik,2019,0.0
powiat Żory,2011,0.0
powiat Żory,2012,0.0
powiat Żory,2013,0.0
powiat Żory,2014,0.0
powiat Żory,2015,0.0
powiat Żory,2016,0.0
powiat Żory,2017,0.0
powiat Żory,2018,0.0
powiat Żory,2019,0.0
powiat będziński,2011,642.42
powiat będziński,2012,658.78
powiat będziński,2013,694.04
powiat będziński,2014,719.46
powiat będziński,2015,825.97
powiat będziński,2016,710.42
powiat będziński,2017,755.14
powiat będziński,2018,801.81
powiat będziński,2019,883.24
powiat zawierciański,2011,1016.86
powiat zawierciański,2012,991.45
powiat zawierciański,2013,983.61
powiat zawierciański,2014,988.71
powiat zawierciański,2015,1105.47
powiat zawierciański,2016,933.48
powiat zawierciański,2017,946.11
powiat zawierciański,2018,964.69
powiat zawierciański,2019,1093.98
powiat Dąbrowa Górnicza,2011,0.0
powiat Dąbrowa Górnicza,2012,0.0
powiat Dąbrowa Górnicza,2013,0.0
powiat Dąbrowa Górnicza,2014,0.0
powiat Dąbrowa Górnicza,2015,0.0
powiat Dąbrowa Górnicza,2016,0.0
powiat Dąbrowa Górnicza,2017,0.0
powiat Dąbrowa Górnicza,2018,0.0
powiat Dąbrowa Górnicza,2019,0.0
powiat Jaworzno,2011,0.0
powiat Jaworzno,2012,0.0
powiat Jaworzno,2013,0.0
powiat Jaworzno,2014,0.0
powiat Jaworzno,2015,0.0
powiat Jaworzno,2016,0.0
powiat Jaworzno,2017,0.0
powiat Jaworzno,2018,0.0
powiat Jaworzno,2019,0.0
powiat Sosnowiec,2011,0.0
powiat Sosnowiec,2012,0.0
powiat Sosnowiec,2013,0.0
powiat Sosnowiec,2014,0.0
powiat Sosnowiec,2015,0.0
powiat Sosnowiec,2016,0.0
powiat Sosnowiec,2017,0.0
powiat Sosnowiec,2018,0.0
powiat Sosnowiec,2019,0.0
powiat mikołowski,2011,821.86
powiat mikołowski,2012,816.81
powiat mikołowski,2013,844.7
powiat mikołowski,2014,861.8
powiat mikołowski,2015,823.1
powiat mikołowski,2016,881.09
powiat mikołowski,2017,905.89
powiat mikołowski,2018,979.93
powiat mikołowski,2019,1083.24
powiat pszczyński,2011,791.0
powiat pszczyński,2012,794.37
powiat pszczyński,2013,834.23
powiat pszczyński,2014,835.07
powiat pszczyński,2015,829.82
powiat pszczyński,2016,841.78
powiat pszczyński,2017,949.66
powiat pszczyński,2018,1025.29
powiat pszczyński,2019,1085.85
powiat bieruńsko-lędziński,2011,861.81
powiat bieruńsko-lędziński,2012,1119.49
powiat bieruńsko-lędziński,2013,946.08
powiat bieruńsko-lędziński,2014,932.79
powiat bieruńsko-lędziński,2015,823.99
powiat bieruńsko-lędziński,2016,806.2
powiat bieruńsko-lędziński,2017,787.58
powiat bieruńsko-lędziński,2018,1024.77
powiat bieruńsko-lędziński,2019,845.52
powiat Tychy,2011,0.0
powiat Tychy,2012,0.0
powiat Tychy,2013,0.0
powiat Tychy,2014,0.0
powiat Tychy,2015,0.0
powiat Tychy,2016,0.0
powiat Tychy,2017,0.0
powiat Tychy,2018,0.0
powiat Tychy,2019,0.0
powiat gorzowski,2011,826.99
powiat gorzowski,2012,717.92
powiat gorzowski,2013,711.43
powiat gorzowski,2014,701.46
powiat gorzowski,2015,741.54
powiat gorzowski,2016,704.1
powiat gorzowski,2017,804.51
powiat gorzowski,2018,870.19
powiat gorzowski,2019,1055.33
powiat międzyrzecki,2011,919.58
powiat międzyrzecki,2012,922.09
powiat międzyrzecki,2013,1185.24
powiat międzyrzecki,2014,1012.02
powiat międzyrzecki,2015,1026.06
powiat międzyrzecki,2016,1076.87
powiat międzyrzecki,2017,1121.44
powiat międzyrzecki,2018,1257.52
powiat międzyrzecki,2019,1338.23
powiat słubicki,2011,1149.07
powiat słubicki,2012,852.11
powiat słubicki,2013,910.17
powiat słubicki,2014,879.67
powiat słubicki,2015,948.32
powiat słubicki,2016,869.06
powiat słubicki,2017,919.55
powiat słubicki,2018,1059.53
powiat słubicki,2019,1102.83
powiat strzelecko-drezdenecki,2011,1192.94
powiat strzelecko-drezdenecki,2012,805.84
powiat strzelecko-drezdenecki,2013,822.14
powiat strzelecko-drezdenecki,2014,850.32
powiat strzelecko-drezdenecki,2015,836.29
powiat strzelecko-drezdenecki,2016,886.61
powiat strzelecko-drezdenecki,2017,1019.73
powiat strzelecko-drezdenecki,2018,1017.55
powiat strzelecko-drezdenecki,2019,1058.79
powiat sulęciński,2011,1095.68
powiat sulęciński,2012,986.07
powiat sulęciński,2013,1133.71
powiat sulęciński,2014,1186.02
powiat sulęciński,2015,1056.57
powiat sulęciński,2016,1050.72
powiat sulęciński,2017,1200.58
powiat sulęciński,2018,1394.27
powiat sulęciński,2019,1262.33
powiat Gorzów Wielkopolski,2011,0.0
powiat Gorzów Wielkopolski,2012,0.0
powiat Gorzów Wielkopolski,2013,0.0
powiat Gorzów Wielkopolski,2014,0.0
powiat Gorzów Wielkopolski,2015,0.0
powiat Gorzów Wielkopolski,2016,0.0
powiat Gorzów Wielkopolski,2017,0.0
powiat Gorzów Wielkopolski,2018,0.0
powiat Gorzów Wielkopolski,2019,0.0
"powiat krośnieński, lubuskie",2011,1209.92
"powiat krośnieński, lubuskie",2012,951.05
"powiat krośnieński, lubuskie",2013,972.65
"powiat krośnieński, lubuskie",2014,965.78
"powiat krośnieński, lubuskie",2015,977.26
"powiat krośnieński, lubuskie",2016,1038.13
"powiat krośnieński, lubuskie",2017,1093.01
"powiat krośnieński, lubuskie",2018,1135.92
"powiat krośnieński, lubuskie",2019,1128.64
powiat nowosolski,2011,1043.8
powiat nowosolski,2012,873.59
powiat nowosolski,2013,875.23
powiat nowosolski,2014,879.07
powiat nowosolski,2015,835.55
powiat nowosolski,2016,959.28
powiat nowosolski,2017,1024.55
powiat nowosolski,2018,1011.65
powiat nowosolski,2019,1290.57
powiat świebodziński,2011,1224.98
powiat świebodziński,2012,1016.77
powiat świebodziński,2013,971.98
powiat świebodziński,2014,967.01
powiat świebodziński,2015,971.56
powiat świebodziński,2016,1052.58
powiat świebodziński,2017,1176.76
powiat świebodziński,2018,1186.34
powiat świebodziński,2019,1257.25
powiat zielonogórski,2011,730.05
powiat zielonogórski,2012,704.74
powiat zielonogórski,2013,717.91
powiat zielonogórski,2014,738.13
powiat zielonogórski,2015,948.39
powiat zielonogórski,2016,910.45
powiat zielonogórski,2017,954.9
powiat zielonogórski,2018,999.35
powiat zielonogórski,2019,1057.53
powiat żagański,2011,974.39
powiat żagański,2012,797.15
powiat żagański,2013,801.91
powiat żagański,2014,875.36
powiat żagański,2015,836.48
powiat żagański,2016,874.27
powiat żagański,2017,934.63
powiat żagański,2018,1040.99
powiat żagański,2019,1024.16
powiat żarski,2011,982.95
powiat żarski,2012,895.59
powiat żarski,2013,966.29
powiat żarski,2014,1063.61
powiat żarski,2015,1011.33
powiat żarski,2016,996.84
powiat żarski,2017,1162.45
powiat żarski,2018,1138.27
powiat żarski,2019,1203.25
powiat wschowski,2011,914.08
powiat wschowski,2012,863.62
powiat wschowski,2013,958.44
powiat wschowski,2014,920.66
powiat wschowski,2015,931.67
powiat wschowski,2016,933.73
powiat wschowski,2017,1079.35
