rok,rodzaj,przedsiębiorstwa objęte badaniem,przychody z całokształtu działalności (przychody ogółem),zysk brutto,zysk netto,kredyty bankowe i pożyczki,wynik finansowy brutto,wskaźnik płynności finansowej I stopnia,przychody netto ze sprzedaży towarów i materiałów,aktywa obrotowe,zobowiązania długoterminowe,wskaźnik rentowności obrotu netto,"przychody netto ze sprzedaży produktów, towarów i materiałów",wartość sprzedanych towarów i materiałów,należności krótkoterminowe z tytułu dostaw i usług,zapasy - towary,wskaźnik poziomu kosztów,obowiązkowe obciążenia wyniku finansowego brutto - podatek dochodowy,pozostałe koszty operacyjne,koszt sprzedanych produktów,obowiązkowe obciążenia wyniku finansowego brutto,udział przychodów przedsiębiorstw wykazujących zysk netto w przychodach z całokształtu działalności,zapasy - półprodukty i produkty w toku,wynik finansowy na działalności gospodarczej,przychody netto ze sprzedaży produktów,wskaźnik rentowności sprzedaży brutto,inwestycje krótkoterminowe,zobowiązania krótkoterminowe,zapasy - produkty gotowe,pozostałe przychody operacyjne,strata brutto,koszty uzyskania przychodów z całokształtu działalności (koszty ogółem),wskaźnik płynności finansowej II stopnia,wynik finansowy netto,wskaźnik rentowności obrotu brutto,udział liczby przedsiębiorstw wykazujących zysk netto w ogólnej liczbie przedsiębiorstw,należności krótkoterminowe,"wynik finansowy ze sprzedaży produktów, towarów i materiałów",pozostałe przychody operacyjne - dotacje,koszty finansowe,wynik zdarzeń nadzwyczajnych,zapasy - materiały,"zobowiązania krótkoterminowe z tytułu podatków, ceł, ubezpieczeń i innych świadczeń",przychody finansowe,zapasy,zobowiązania krótkoterminowe z tytułu dostaw i usług,strata netto,krótkoterminowe rozliczenia międzyokresowe
2012,Transport i gospodarka magazynowa,955,95160446,4308116,3587204,3179501,2362515,54.7,6574017,27987439,23676382,1.7,89683034,5660567,10117348,429185,97.5,774351,2037564,83447528,774351,69.1,29219,2362129.0,83109017,0.6,12389715,22633115,3590,4027501,1945601,92798317,112.5,1588164,2.5,67.5,13070062,574939,1639724,1652658,386.0,996764,1948726,1449911,1680576,8853449,1999040,847086
2013,Transport i gospodarka magazynowa,950,96172139,4424213,3730330,3965751,2889018,55.1,5765605,30555949,27399382,2.3,91473225,4897397,11047921,412585,97.0,695111,1638470,85258590,695111,79.4,38868,2881241.0,85707620,1.4,13886006,25208997,7260,3865403,1535195,93290898,111.6,2193907,3.0,74.7,14256596,1317238,1468227,1496441,7777.0,1070412,1952814,833511,1584864,9378050,1536423,828483
2014,Transport i gospodarka magazynowa,959,100722521,4547685,3730436,3523209,2985590,61.1,5106547,32940269,33733458,2.2,95942148,4377366,10984363,532428,97.0,804558,2076504,89453152,804558,77.1,36167,2985973.0,90835601,2.2,15222235,24920007,4390,4050147,1562095,97736548,120.9,2181032,3.0,79.1,14909211,2111630,1604977,1829526,-383.0,1173731,1674724,730226,1842920,9164728,1549404,965903
2015,Transport i gospodarka magazynowa,1006,105669566,5775198,4796518,3359847,4544905,62.9,5483549,35452392,36931841,3.4,100913683,4753235,11621549,548249,95.7,982604,1888158,92837044,982604,80.3,34390,4545453.0,95430134,3.3,15705368,24950578,6425,3909943,1230293,101124113,131.0,3562301,4.3,81.1,16973234,3323404,1038375,1645676,-548.0,1171164,1961722,845940,1817935,8960636,1234217,955855
2016,Transport i gospodarka magazynowa,1025,116723393,6085299,5331352,3774095,4952992,77.7,9445864,42733602,37424344,3.6,111603196,8618602,14100479,1486806,95.8,754181,2045943,99264980,754181,73.2,38600,,102157332,3.3,20880668,26869506,8402,4256182,1132307,111770401,144.3,4198811,4.2,78.7,17878664,3719614,1650606,1840876,,1258677,2102581,864015,2840846,11701866,1132541,1133424
2017,Transport i gospodarka magazynowa,1115,131976397,7419633,6199888,4225752,6303774,75.3,11053189,48057308,36742913,3.9,125158847,10087740,16056216,1500433,95.2,1218194,1993416,111657172,1218194,79.1,48531,,114105658,2.7,23382083,31047420,12767,5052349,1115859,125672623,141.1,5085580,4.8,73.7,20411834,3413935,2095876,1934295,,1339940,2480820,1765201,2947554,13643708,1114308,1315837
2018,Transport i gospodarka magazynowa,1116,142994915,6624927,5506797,4654697,5468517,69.6,11417335,52802725,37815932,2.9,136551378,10249438,18358813,1401847,96.2,1266838,3033884,122372840,1266838,72.9,65077,,125134043,2.9,24490266,35184168,24221,5302556,1156410,137526398,136.8,4201679,3.8,72.0,23634116,3929100,2185134,1870236,,1577658,2456677,1140981,3132317,14635898,1305118,1546026
2019,Transport i gospodarka magazynowa,1136,155900767,7112854,5887784,4557921,5850725,69.8,12122660,55781309,40059558,3.0,149362446,10897398,19277064,1442272,96.2,1234195,2658831,134921675,1234195,75.4,64058,,137239786,2.4,25675007,36781041,22072,5425224,1262129,150050042,138.0,4616530,3.8,76.3,25098382,3543373,2358171,1572138,,1764368,2592029,1113097,3379407,15933992,1271254,1628513
2020,Transport i gospodarka magazynowa,1149,151228385,6977576,5908514,4030739,3187919,83.5,10863072,61147799,47276157,1.5,143349131,9742574,19122998,1363473,97.9,965681,2930918,132410781,965681,72.5,108157,,132486059,0.8,30795153,36881000,13154,6855675,3789657,148040466,152.4,2222238,2.1,77.7,25424753,1195776,3470237,2956193,,1762102,2855338,1023579,3335639,16808148,3686276,1592254
2011,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,293,9438996,862461,750350,396407,510366,62.5,2183247,2239432,5042718,4.4,8686562,610853,504116,62870,94.7,95511,136182,7513066,95511,69.4,7289,500186.0,6503315,6.5,1182321,1890363,2917,460752,352095,8938810,104.5,414855,5.4,66.9,793171,562643,17006,678709,10180.0,76743,182027,291682,153110,686337,335495,110830
